,subjectName,numberlinks,school,major,subject_code
0,Design Pitching Skills,"""DES-END2713E""",DES,END,2713E
0,Design Pitching Skills,"""DES-IND2713E""",DES,END,2713E
0,Design Pitching Skills,"""EDES-DFT2713E""",DES,END,2713E
0,Design Pitching Skills,"""DES-MED2713E""",DES,END,2713E
0,Design Pitching Skills,"""DES-ACD271",DES,END,2713E
1,Global Design Innovations,"""DES-END2712E""",DES,END,2712E
1,Global Design Innovations,"""DES-IND2712E""",DES,END,2712E
1,Global Design Innovations,"""DES-DFT2712E""",DES,END,2712E
1,Global Design Innovations,"""DES-MED2712E""",DES,END,2712E
1,Global Design Innovations,"""DES-ACD271",DES,END,2712E
2,Intellectual Property Rights : Global Perspective,"""DES-END2714E""",DES,END,2714E
2,Intellectual Property Rights : Global Perspective,"""DES-IND2714E""",DES,END,2714E
2,Intellectual Property Rights : Global Perspective,"""DES-DFT2714E""",DES,END,2714E
2,Intellectual Property Rights : Global Perspective,"""DES-MED2714E""",DES,END,2714E
2,Intellectual Property Rights : Global Perspective,"""DES-ACD271",DES,END,2714E
3,Start-ups and Global Disruptors,"""DES-END2711E""",DES,END,2711E
3,Start-ups and Global Disruptors,"""DES-IND2711E""",DES,END,2711E
3,Start-ups and Global Disruptors,"""DES-DFT2711E""",DES,END,2711E
3,Start-ups and Global Disruptors,"""DES-MED2711E""",DES,END,2711E
3,Start-ups and Global Disruptors,"""DES-ACD271",DES,END,2711E
4,アニメーション表現,"""DES-MED221",DES,MED,2212J
5,インターンシップ（学部）,"""DES-END3041J DES-IND3041J DES-VCD3071J DES-ACD3031J DES-AID301",DES,END,3041J
6,インダストリアルデザイン基礎Ⅰ,"""DES-IND111",DES,IND,1111J
7,インダストリアルデザイン基礎Ⅱ,"""DES-IND121",DES,IND,1211J
8,インタラクションデザイン,"""DES-MED231",DES,MED,2313J
9,インタラクティブインターフェース演習,"""DES-AID341",DES,AID,3412W
10,Webコンテンツデザイン演習,"""DES-AID343",DES,AID,3432J
11,映像表現,"""DES-MED221",DES,MED,2211J
12,演劇文化論,"""DES-MED241",DES,MED,2412J
13,応用音楽学,"""DES-ACD332",DES,ACD,3321W
14,応用音楽表現演習Ⅰ,"""DES-DFT2121J""",DES,DFT,2121J
14,応用音楽表現演習Ⅰ,""" DES-ACD222",DES,DFT,2121J
15,応用音楽表現演習Ⅱ,"""DES-DFT2122J""",DES,DFT,2122J
15,応用音楽表現演習Ⅱ,"""DES-ACD222",DES,DFT,2122J
16,応用音響理論,"""DES-ACD233",DES,ACD,2331J
17,応用時系列解析,"""DES-IND353",DES,IND,3531J
18,音文化論,"""DES-ACD211",DES,ACD,2113J
19,音文化論演習,"""DES-ACD232",DES,ACD,2324J
20,音楽学,"""DES-ACD331",DES,ACD,3311J
21,音楽理論表現演習,"""DES-ACD222",DES,ACD,2221J
22,音響構成,"""DES-ACD441",DES,ACD,4411J
23,音響実験Ⅰ,"""DES-ACD381",DES,ACD,3811J
24,音響実験Ⅱ,"""DES-ACD382",DES,ACD,3821J
25,音響情報工学,"""DES-ACD362",DES,ACD,3621J
26,音響情報工学演習,"""DES-ACD384",DES,ACD,3841J
27,音響信号処理,"""DES-ACD211",DES,ACD,2116J
28,音響プログラミング演習,"""DES-ACD221",DES,ACD,2212J
29,音響理論演習Ⅰ（2019年度以前入学者対象）,"""DES-ACD211",DES,ACD,2111J
30,音響理論演習Ⅰ（2020年度入学者対象）,"""DES-ACD211",DES,ACD,2114J
31,音響理論演習Ⅱ（2019年度以前入学者対象）,"""DES-ACD211",DES,ACD,2112J
32,音響理論演習Ⅱ（2020年度入学者対象）,"""DES-ACD211",DES,ACD,2115J
33,音声情報学,"""DES-ACD234",DES,ACD,2341J
34,科学技術とデザイン,"""DES-END2034J""",DES,END,2034J
34,科学技術とデザイン,"""DES-IND2034J""",DES,END,2034J
34,科学技術とデザイン,"""DES-DFT2034J""",DES,END,2034J
34,科学技術とデザイン,"""DES-MED2034J""",DES,END,2034J
34,科学技術とデザイン,"""DES-ACD203",DES,END,2034J
35,拡張映像表現スタジオ演習,"""DES-VCD382",DES,VCD,3821J
36,画像処理演習,"""DES-VCD351",DES,VCD,3512J
37,画像メディア工学演習,"""DES-VCD353",DES,VCD,3532J
38,画像論演習,"""DES-VCD321",DES,VCD,3212J
39,楽器・音響機器論,"""DES-ACD353",DES,ACD,3531J
40,環境形成史,"""DES-END336",DES,END,3361J
41,環境材料論Ⅰ,"""DES-END252",DES,END,2521J
42,環境情報論,"""DES-END367",DES,END,3671J
43,環境生理学,"""DES-IND214",DES,IND,2142J
44,環境設計基礎Ⅰ,"""DES-END123",DES,END,1231J
45,環境設計基礎Ⅱ,"""DES-IND141",DES,IND,1412J
46,環境設計プロジェクトA,"""DES-END241",DES,END,2411J
47,環境設計プロジェクトC,"""DES-END241",DES,END,2413J
48,環境設計プロジェクトD,"""DES-END241",DES,END,2414J
49,環境設計プロジェクトB,"""DES-END241",DES,END,2412J
50,環境設計文献講読,"""DES-END380",DES,END,3801W
51,環境総合プロジェクト,"""DES-END449",DES,END,4491W
52,環境総合プロジェクトA,"""DES-END441",DES,END,4411J
53,環境総合プロジェクトB,"""DES-END441",DES,END,4412J
54,環境テクノロジー実習,"""DES-END382",DES,END,3821W
55,環境と持続可能性,"""DES-DFT322",DES,DFT,3221W
56,環境人間工学（2019年度以前入学者対象）,"""DES-IND3122J",DES,IND,3122J
57,環境文化財論,"""DES-END336",DES,END,3363J
58,環境倫理学,"""DES-END317",DES,END,3172J
59,感性科学（2019年度以前入学者対象）,"""DES-IND312",DES,IND,312
60,機械学習,"""DES-VCD3061J DES-AID361",DES,VCD,3061J
61,機能工学基礎,"""DES-IND352",DES,IND,3524J
62,基礎造形Ⅰ,"""DES-END2021J""",DES,END,2021J
62,基礎造形Ⅰ,"""DES-IND2021J""",DES,END,2021J
62,基礎造形Ⅰ,"""DES-DFT2021J""",DES,END,2021J
62,基礎造形Ⅰ,"""DES-MED2021J""",DES,END,2021J
62,基礎造形Ⅰ,"""DES-ACD2021J""",DES,END,2021J
63,基礎造形Ⅰ,"""DES-END2021J""",DES,END,2021J
63,基礎造形Ⅰ,"""DES-IND2021J""",DES,END,2021J
63,基礎造形Ⅰ,"""DES-DFT2021J""",DES,END,2021J
63,基礎造形Ⅰ,"""DES-MED2021J""",DES,END,2021J
63,基礎造形Ⅰ,"""DES-ACD2021J""",DES,END,2021J
64,基礎造形Ⅰ,"""DES-END2021J""",DES,END,2021J
64,基礎造形Ⅰ,"""DES-IND2021J""",DES,END,2021J
64,基礎造形Ⅰ,"""DES-DFT2021J""",DES,END,2021J
64,基礎造形Ⅰ,"""DES-MED2021J""",DES,END,2021J
64,基礎造形Ⅰ,"""DES-ACD2021J""",DES,END,2021J
65,基礎造形Ⅰ,"""DES-END2021J""",DES,END,2021J
65,基礎造形Ⅰ,"""DES-IND2021J""",DES,END,2021J
65,基礎造形Ⅰ,"""DES-DFT2021J""",DES,END,2021J
65,基礎造形Ⅰ,"""DES-MED2021J""",DES,END,2021J
65,基礎造形Ⅰ,"""DES-ACD202",DES,END,2021J
66,基礎造形Ⅲ,"""DES-IND2023J""",DES,IND,2023J
66,基礎造形Ⅲ,"""DES-END2023J""",DES,IND,2023J
66,基礎造形Ⅲ,"""DES-DFT2023J""",DES,IND,2023J
66,基礎造形Ⅲ,"""DES-MED2023J""",DES,IND,2023J
66,基礎造形Ⅲ,"""DES-ACD202",DES,IND,2023J
67,基礎造形Ⅲ,"""DES-IND2023J""",DES,IND,2023J
67,基礎造形Ⅲ,"""DES-END2023J""",DES,IND,2023J
67,基礎造形Ⅲ,"""DES-DFT2023J""",DES,IND,2023J
67,基礎造形Ⅲ,"""DES-MED2023J""",DES,IND,2023J
67,基礎造形Ⅲ,"""DES-ACD202",DES,IND,2023J
68,基礎造形Ⅱ,"""DES-END2022J""",DES,END,2022J
68,基礎造形Ⅱ,"""DES-IND2022J""",DES,END,2022J
68,基礎造形Ⅱ,"""DES-DFT2022J""",DES,END,2022J
68,基礎造形Ⅱ,"""DES-MED2022J""",DES,END,2022J
68,基礎造形Ⅱ,"""DES-ACD202",DES,END,2022J
69,基礎造形Ⅱ,"""DES-END2022J""",DES,END,2022J
69,基礎造形Ⅱ,"""DES-IND2022J""",DES,END,2022J
69,基礎造形Ⅱ,"""DES-DFT2022J""",DES,END,2022J
69,基礎造形Ⅱ,"""DES-MED2022J""",DES,END,2022J
69,基礎造形Ⅱ,"""DES-ACD202",DES,END,2022J
70,基礎造形Ⅱ,"""DES-END2022J""",DES,END,2022J
70,基礎造形Ⅱ,"""DES-IND2022J""",DES,END,2022J
70,基礎造形Ⅱ,"""DES-DFT2022J""",DES,END,2022J
70,基礎造形Ⅱ,"""DES-MED2022J""",DES,END,2022J
70,基礎造形Ⅱ,"""DES-ACD202",DES,END,2022J
71,基礎造形Ⅱ,"""DES-END2022J""",DES,END,2022J
71,基礎造形Ⅱ,"""DES-IND2022J""",DES,END,2022J
71,基礎造形Ⅱ,"""DES-DFT2022J""",DES,END,2022J
71,基礎造形Ⅱ,"""DES-MED2022J""",DES,END,2022J
71,基礎造形Ⅱ,"""DES-ACD202",DES,END,2022J
72,基礎造形Ⅳ,"""DES-END2024J""",DES,END,2024J
72,基礎造形Ⅳ,"""JDES-IND2024J""",DES,IND,2024J
72,基礎造形Ⅳ,"""DES-DFT2024J""",DES,DFT,2024J
72,基礎造形Ⅳ,"""DES-MED2024J""",DES,MED,2024J
72,基礎造形Ⅳ,"""DES-ACD2024J",DES,ACD,2024J
73,基礎造形Ⅳ,"""DES-END2024J""",DES,END,2024J
73,基礎造形Ⅳ,"""DES-IND2024J""",DES,IND,2024J
73,基礎造形Ⅳ,"""DES-DFT2024J""",DES,DFT,2024J
73,基礎造形Ⅳ,"""DES-MED2024J""",DES,MED,2024J
73,基礎造形Ⅳ,"""DES-ACD2024J",DES,ACD, 2024J
74,機能工学デザイン演習,"""DES-IND354",DES,IND,3543J
75,機能デザイン論,"""DES-IND352",DES,IND,3521J
76,共通課題PBL演習A,"""DES-DFT161",DES,DFT,1611W
77,銀塩写真演習,"""DES-VCD349",DES,VCD,3491J
78,空間情報分析実習Ⅰ,"""DES-END282",DES,END,2821J
79,空間情報分析実習Ⅱ,"""DES-END282",DES,END,2822J
80,空間デザイン実習,"""DES-END281",DES,END,2811J
81,グラフィックスアルゴリズム演習,"""DES-VCD362",DES,VCD,3622J
82,グラフィックデザイン,"""DES-MED221",DES,MED,2214J
83,グラフィックデザイン演習,"""DES-VCD381",DES,VCD,3811J
84,クリティカルシンキング,"""DES-DFT151",DES,DFT,1511J
85,計画設計プロジェクト演習,"""DES-IND334",DES,IND,3341W
86,芸術情報総合演習,"""DES-AID381",DES,AID,3814W
87,芸術情報プロジェクト演習,"""DES-AID381",DES,AID,3813W
88,芸術表現論,"""DES-DFT212",DES,DFT,2121W
89,芸術文化環境論,"""DES-AID222",DES,AID,2221J
90,芸術文化施設論,"""DES-AID321",DES,AID,3214J
91,芸術文化論,"""DES-DFT253",DES,DFT,2531J
92,ゲームデザイン,"""DES-MED221",DES,MED,2213J
93,現代芸術とコミュニケーション演習,"""DES-VCD334",DES,VCD,3341J
94,現代生活デザイン論・演習,"""DES-IND331",DES,IND,3311W
95,建築空間設計論,"""DES-END335",DES,END,3351J
96,建築生産,"""DES-END339",DES,END,3392J
97,工業設計プロジェクト研究,"""DES-IND481",DES,IND,4811W
98,構造システム論,"""DES-END355",DES,END,3551J
99,構造理論Ⅰ,"""DES-END251",DES,END,2511J
100,構造理論Ⅱ,"""DES-END251",DES,END,2512J
101,行動生理学（2019年度以前入学者対象）,"""DES-IND212",DES,IND,2123J
102,行動生理学（2020年度入学者対象）,"""DES-IND215",DES,IND,2152J
103,構法設計論,"""DES-END339",DES,END,3391J
104,コース融合プロジェクトA,"""DES-END2051J""",DES,END,2051J
104,コース融合プロジェクトA,"""DES-IND2321J""",DES,END,2051J
104,コース融合プロジェクトA,"""DES-DFT2051J""",DES,END,2051J
104,コース融合プロジェクトA,"""DES-MED2051J""",DES,END,2051J
104,コース融合プロジェクトA,"""DES-ACD205",DES,END,2051J
105,コース融合プロジェクトB,"""DES-END2052J""",DES,END,2052J
105,コース融合プロジェクトB,"""DES-IND2322J""",DES,END,2052J
105,コース融合プロジェクトB,"""DES-DFT2052J""",DES,END,2052J
105,コース融合プロジェクトB,"""DES-MED2052J""",DES,END,2052J
105,コース融合プロジェクトB,"""DES-ACD205",DES,END,2052J
106,言葉とコミュニケーション,"""DES-MED241",DES,MED,2411J
107,コミュニケーションデザイン演習Ⅰ,"""DES-MED252",DES,MED,2521J
108,コンセプト論,"""DES-DFT111",DES,DFT,1111J
109,コンテンツデザイン演習Ⅰ,"""DES-MED257",DES,MED,2571J
110,コンピュータアニメーション演習,"""DES-VCD342",DES,VCD,3421J
111,コンピュータグラフィックス,"""DES-MED232",DES,MED,2323J
112,サービスデザイン概論,"""DES-IND222",DES,IND,2221J
113,サービスデザイン実践論,"""DES-IND222",DES,IND,2222J
114,視覚芸術学プロジェクト,"""DES-VCD383",DES,VCD,3831J
115,視覚芸術基礎,"""DES-DFT212",DES,DFT,2121W
116,視覚心理学,"""DES-MED242",DES,MED,2421J
117,視覚心理学演習,"""DES-VCD311",DES,VCD,3112J
118,色彩学,"""DES-MED242",DES,MED,2422J
119,色彩学演習,"""DES-VCD314",DES,VCD,3142J
120,室内音響学,"""DES-ACD351",DES,ACD,3511J
121,社会と多様性,"""DES-DFT121",DES,DFT,1211W
122,社会とデザイン,"""DES-END2032J""",DES,END,2032J
122,社会とデザイン,"""DES-IND2032J""",DES,END,2032J
122,社会とデザイン,"""DES-DFT2032J""",DES,END,2032J
122,社会とデザイン,"""DES-MED2032J""",DES,END,2032J
122,社会とデザイン,"""DES-ACD203",DES,END,2032J
123,主観評価法,"""DES-ACD301",DES,ACD,3011J
124,情報デザイン,"""DES-MED222",DES,MED,2222J
125,情報理論,"""DES-ACD313",DES,ACD,3131J
126,人工生命デザイン,"""DES-AID353",DES,AID,3531J
127,身体表現演習Ⅰ,"""DES-DFT112",DES,DFT,1121J
128,心理学的思考法演習,"""DES-VCD312",DES,VCD,3121J
129,生活機器造形論・演習,"""DES-IND332",DES,IND,3321J
130,生活空間造形論・演習,"""DES-IND333",DES,IND,3331W
131,生体情報処理演習,"""DES-IND314",DES,IND,3141J
132,生命科学入門Ⅰ,"""DES-DFT141",DES,DFT,1411J
133,西洋美術史,"""DES-DFT214",DES,DFT,2141J
134,生理人類学,"""DES-IND212",DES,IND,2122J
135,設計多変量解析,"""DES-IND253",DES,IND,2532J
136,設備計画論,"""DES-END369",DES,END,3691J
137,先端情報生命科学Ⅰ,"""DES-DFT336",DES,DFT,3361W
138,先端情報生命科学Ⅱ,"""DES-DFT336",DES,DFT,3362W
139,騒音環境学,"""DES-ACD352",DES,ACD,3521J
140,造形論,"""DES-AID312",DES,AID,3122J
141,卒業研究Ⅰ,"""DES-END491",DES,END,4911W
142,卒業研究Ⅰ,"""DES-IND491",DES,IND,4911J
143,卒業研究Ⅰ,"""DES-VCD491",DES,VCD,4911J
144,卒業研究Ⅰ,"""DES-ACD491",DES,ACD,4911J
145,卒業研究Ⅰ,"""DES-AID491",DES,AID,4911W
146,卒業研究Ⅰ,"""DES-END491",DES,END,4911W
147,卒業研究Ⅰ,"""DES-IND491",DES,IND,4911J
148,卒業研究Ⅰ,"""DES-VCD491",DES,VCD,4911J
149,卒業研究Ⅰ,"""DES-ACD491",DES,ACD,4911J
150,卒業研究Ⅰ,"""DES-AID491",DES,AID,4911W
151,卒業研究Ⅱ,"""DES-END491",DES,END,4912W
152,卒業研究Ⅱ,"""DES-IND491",DES,IND,4912J
153,卒業研究Ⅱ,"""DES-VCD491",DES,VCD,4912J
154,卒業研究Ⅱ,"""DES-ACD491",DES,ACD,4912J
155,卒業研究Ⅱ,"""DES-AID491",DES,AID,4912W
156,卒業研究Ⅱ,"""DES-END491",DES,END,4912W
157,卒業研究Ⅱ,"""DES-IND491",DES,IND,4912J
158,卒業研究Ⅱ,"""DES-VCD491",DES,VCD,4912J
159,卒業研究Ⅱ,"""DES-ACD491",DES,ACD,4912J
160,卒業研究Ⅱ,"""DES-AID491",DES,AID,4912W
161,タイポグラフィックデザイン,"""DES-MED222",DES,MED,2221J
162,知覚情報処理工学,"""DES-AID352",DES,AID,3522J
163,知覚心理学,"""DES-DFT2421W""",DES,DFT,2421W
163,知覚心理学,"""DES-MED2431J""",DES,DFT,2421W
163,知覚心理学,"""DES-ACD231",DES,DFT,2421W
164,知的財産論,"""DES-AID323",DES,AID,3231J
165,聴覚心理学,"""DES-ACD211",DES,ACD,2112W
166,聴覚生理学,"""DES-ACD211",DES,ACD,2111W
167,聴覚認知論,"""DES-ACD323",DES,ACD,3231J
168,聴能形成Ⅰ,"""DES-ACD121",DES,ACD,1211J
169,聴能形成Ⅱ,"""DES-ACD221",DES,ACD,2211J
170,ディジタル信号処理演習（2019年度以前入学者対象）,"""DES-ACD383",DES,ACD,3831J
171,ディジタル信号処理演習（2020年度入学者対象）,"""DES-ACD234",DES,ACD,2342J
172,デザイン・ケーススタディⅠ,"""DES-END1041J""",DES,END,1041J
172,デザイン・ケーススタディⅠ,"""DES-IND1041J""",DES,END,1041J
172,デザイン・ケーススタディⅠ,"""DES-DFT1041J""",DES,END,1041J
172,デザイン・ケーススタディⅠ,"""DES-MED1041J""",DES,END,1041J
172,デザイン・ケーススタディⅠ,"""DES-ACD104",DES,END,1041J
173,デザイン材料論・演習,"""DES-DFT211",DES,DFT,2111J
174,デザイン思考法（2019年度以前入学者対象）,"""DES-IND235",DES,IND,2351J
175,デザインシステム論・演習,"""DES-IND331",DES,IND,3313J
176,デザインストラテジー基礎（学部4年生対象）,"""DES-END4091J""",DES,END,4091J
176,デザインストラテジー基礎（学部4年生対象）,"""DES-IND4031J""",DES,END,4091J
176,デザインストラテジー基礎（学部4年生対象）,"""DES-VCD4081J""",DES,END,4091J
176,デザインストラテジー基礎（学部4年生対象）,"""DES-ACD4021J""",DES,END,4091J
176,デザインストラテジー基礎（学部4年生対象）,"""DES-AID404",DES,END,4091J
177,デザインストラテジー基礎（学部3年生対象）,"""DES-END4091J""",DES,END,4091J
177,デザインストラテジー基礎（学部3年生対象）,"""DES-IND4031J""",DES,END,4091J
177,デザインストラテジー基礎（学部3年生対象）,"""DES-VCD4081J""",DES,END,4091J
177,デザインストラテジー基礎（学部3年生対象）,"""DES-ACD4021J""",DES,END,4091J
177,デザインストラテジー基礎（学部3年生対象）,"""DES-AID404",DES,END,4091J
178,デザイン美学,"""DES-DFT213",DES,DFT,2131J
179,デザイン編集論・演習,"""DES-DFT211",DES,DFT,2111W
180,デザイン要素論・演習,"""DES-DFT211",DES,DFT,2111J
181,デザインリテラシー基礎,"""DES-END1011J""",DES,END,1011J
181,デザインリテラシー基礎,"""DES-IND1011J""",DES,END,1011J
181,デザインリテラシー基礎,"""DES-DFT1011J""",DES,END,1011J
181,デザインリテラシー基礎,"""DES-MED1011J""",DES,END,1011J
181,デザインリテラシー基礎,"""DES-ACD101",DES,END,1011J
182,デジタルモデリング演習,"""DES-IND352",DES,IND,3523J
183,電気実験,"""DES-ACD361",DES,ACD,3611J
184,統計・データ科学,"""DES-END3022J DES-IND3021J DES-VCD3031J DES-ACD3021J DES-AID303",DES,END,3022J
185,都市プロジェクト,"""DES-END349",DES,END,3492W
186,人間科学とデザイン,"""DES-END2033J""",DES,END,2033J
186,人間科学とデザイン,"""DES-IND2033J""",DES,END,2033J
186,人間科学とデザイン,"""DES-DFT2033J""",DES,END,2033J
186,人間科学とデザイン,"""DES-MED2033J""",DES,END,2033J
186,人間科学とデザイン,"""DES-ACD203",DES,END,2033J
187,人間工学演習Ⅰ,"""DES-IND212",DES,IND,2121J
188,人間工学概論,"""DES-IND211",DES,IND,2111J
189,人間工学研究法,"""DES-IND313",DES,IND,3132J
190,人間工学設計演習,"""DES-IND315",DES,IND,3151J
191,人間工学設計法,"""DES-IND313",DES,IND,3131J
192,バーチャルリアリティ,"""DES-AID342",DES,AID,3422J
193,比較映画・演劇文化演習,"""DES-AID321",DES,AID,3213W
194,比較音楽理論,"""DES-ACD232",DES,ACD,2321J
195,ビジネスデザイン論・演習Ⅰ,"""DES-IND222",DES,IND,2221J
196,ビジネスデザイン論・演習Ⅱ,"""DES-IND222",DES,IND,2222J
197,非線形振動論,"""DES-ACD322",DES,ACD,3221J
198,フィールド調査論・演習,"""DES-IND231",DES,IND,2311J
199,フィールドワーク演習,"""DES-AID322",DES,AID,3222W
200,福祉人間工学（2019年度以前入学者対象）,"""DES-IND212",DES,IND,2121J
201,福祉人間工学（2020年度入学者対象）,"""DES-IND213",DES,IND,2131J
202,物質文化論,"""DES-END211",DES,END,2111J
203,プラットフォーム演習 A,"""DES-DFT261",DES,DFT,2611W
204,プラットフォーム演習 C,"""DES-DFT361",DES,DFT,3612J
205,プログラミング基礎,"""DES-DFT135",DES,DFT,1351J
206,プログラミング設計,"""DES-DFT234",DES,DFT,2341J
207,プロダクトデザイン概論,"""DES-IND223",DES,IND,2231J
208,プロダクトデザイン実践論,"""DES-IND223",DES,IND,2232J
209,プロダクトデザイン実践論・演習Ⅰ,"""DES-IND223",DES,IND,2231J
210,プロダクトデザイン実践論・演習Ⅱ,"""DES-IND223",DES,IND,2232J
211,文化とデザイン,"""DES-END2031J""",DES,END,2031J
211,文化とデザイン,"""DES-IND2031J""",DES,END,2031J
211,文化とデザイン,"""DES-DFT2031J""",DES,END,2031J
211,文化とデザイン,"""DES-MED2031J""",DES,END,2031J
211,文化とデザイン,"""DES-ACD203",DES,END,2031J
212,ポートフォリオマネジメント,"""DES-END387",DES,END,3871W
213,未来構想デザイン概論,"""DES-DFT162",DES,DFT,1621J
214,メカニクスデザイン,"""DES-MED231",DES,MED,2311J
215,メディア環境計画,"""DES-VCD341",DES,VCD,3411J
216,メディアサイエンス演習Ⅰ,"""DES-MED254",DES,MED,2541J
217,メディア情報処理（2019年度以前入学者対象）,"""DES-AID352",DES,AID,3521J
218,メディア情報処理（2020年度入学者対象）,"""DES-MED232",DES,MED,2321J
219,メディアデザイン概論Ⅰ,"""DES-MED111",DES,MED,1111J
220,メディアデザイン概論Ⅲ,"""DES-MED211",DES,MED,2113J
221,メディアデザイン概論Ⅱ,"""DES-IND141",DES,IND,1412J
222,メディア表現基礎,"""DES-MED212",DES,MED,2121J
223,メディアプログラミング,"""DES-MED213",DES,MED,2131J
224,ライフスケープデザイン概論,"""DES-IND224",DES,IND,2241J
225,ライフスケープデザイン実践論,"""DES-IND224",DES,IND,2242J
226,ライフスケープデザイン論・演習Ⅰ,"""DES-IND224",DES,IND,2241J
227,ライフスケープデザイン論・演習Ⅱ,"""DES-IND224",DES,IND,2242J
228,ランドスケーププロジェクト,"""DES-END349",DES,END,3491W
229,緑地環境設計論,"""DES-END222",DES,END,2221J
230,輪講,"""DES-ACD486",DES,ACD,4861J
231,歴史環境実習,"""DES-END380",DES,END,3802W
232,歴史環境設計論,"""DES-END336",DES,END,3362J
233,アート・デザイン・ライティング演習,"""DES-DFT253",DES,DFT,2531J
234,ウェブサービスデザイン,"""DES-DFT3331J""",DES,DFT,3331J
234,ウェブサービスデザイン,"""DES-MED231",DES,DFT,3331J
235,音響機器論,"""DES-ACD233",DES,ACD,2332J
236,環境音響構成,"""DES-ACD223",DES,ACD,2232J
237,環境構法論,"""DES-END234",DES,END,2341J
238,環境材料論Ⅱ,"""DES-END252",DES,END,2522J
239,環境社会デザイン論,"""DES-END2121J""",DES,END,2121J
239,環境社会デザイン論,"""DES-DFT222",DES,END,2121J
240,環境調整システム論,"""DES-END261",DES,END,2611J
241,環境人間工学（2020年度入学者対象）,"""DES-IND214",DES,IND,2141J
242,環境保全論,"""DES-END221",DES,END,2211J
243,感性科学（2020年度入学者対象）,"""DES-IND215",DES,IND,2151J
244,芸術論,"""DES-MED223",DES,MED,2231J
245,建築デザイン計画論,"""DES-END231",DES,END,2311J
246,建築法規,"""DES-END236",DES,END,2361J
247,コンテンツ工学,"""DES-MED232",DES,MED,2322J
248,コンテンツデザイン演習Ⅱ,"""DES-MED257",DES,MED,2571J
249,質的社会調査法,"""DES-DFT2241J""",DES,DFT,2241J
249,質的社会調査法,"""DES-ACD232",DES,DFT,2241J
250,収音音響構成,"""DES-ACD223",DES,ACD,2231J
251,情報科学Ⅰ,"""DES-DFT131",DES,DFT,1311W
252,情報科学Ⅱ,"""DES-DFT231",DES,DFT,2312W
253,身体表現演習Ⅱ,"""DES-DFT212",DES,DFT,2122J
254,西洋音楽史,"""DES-ACD232",DES,ACD,2323J
255,造形表現演習,"""DES-MED256",DES,MED,2561J
256,ディジタル信号処理,"""DES-ACD211",DES,ACD,2117J
257,データ解析,"""DES-END2141J""",DES,END,2141J
257,データ解析,"""DES-IND2161J""",DES,END,2141J
257,データ解析,"""DES-DFT2321J""",DES,END,2141J
257,データ解析,"""DES-ACD231",DES,END,2141J
258,デザインスケッチ,"""DES-DFT111",DES,DFT,1111J
259,デザイン哲学,"""DES-DFT251",DES,DFT,2511J
260,電気工学,"""DES-ACD231",DES,ACD,2312J
261,電子工学,"""DES-ACD231",DES,ACD,2313J
262,都市環境設計論,"""DES-END232",DES,END,2321J
263,表象文化論,"""DES-DFT253",DES,DFT,2531J
264,未来デザイン方法論,"""DES-DFT262",DES,DFT,2621J
265,緑地環境実習,"""DES-END285",DES,END,2851J
